ROW,EVTYPE,EventName
1,   high surf advisory,High Surf
2, coastal flood,Coastal Flood
3, flash flood,Flash Flood
4, lightning,Lightning
5, tstm wind,Tsunami
6, tstm wind (g45),Tsunami
7, waterspout,Waterspout
8, wind,Strong Wind
9,?,Unspecific
10,abnormal warmth,Excessive Heat
11,abnormally dry,Drought
12,abnormally wet,
13,accumulated snowfall,
14,agricultural freeze,
15,apache county,
16,astronomical high tide,High Surf
17,astronomical low tide,Astronomical Low Tide
18,avalance,Avalanche
19,avalanche,Avalanche
20,beach erosin,Coastal Flood
21,beach erosion,Coastal Flood
22,beach erosion/coastal flood,Coastal Flood
23,beach flood,Coastal Flood
24,below normal precipitation,
25,bitter wind chill,Extreme Cold/Wind Chill
26,bitter wind chill temperatures,Extreme Cold/Wind Chill
27,black ice,
28,blizzard,Blizzard
29,blizzard and extreme wind chil,Blizzard
30,blizzard and heavy snow,Blizzard
31,blizzard summary,Blizzard
32,blizzard weather,Blizzard
33,blizzard/freezing rain,Blizzard
34,blizzard/heavy snow,Blizzard
35,blizzard/high wind,Blizzard
36,blizzard/winter storm,Blizzard
37,blow-out tide,Astronomical Low Tide
38,blow-out tides,Astronomical Low Tide
39,blowing dust,
40,blowing snow,
41,blowing snow- extreme wind chi,Extreme Cold/Wind Chill
42,blowing snow & extreme wind ch,Extreme Cold/Wind Chill
43,blowing snow/extreme wind chil,Extreme Cold/Wind Chill
44,breakup flooding,
45,brush fire,Wildfire
46,brush fires,Wildfire
47,coastal  flooding/erosion,Coastal Flood
48,coastal erosion,Coastal Flood
49,coastal flood,Coastal Flood
50,coastal flooding,Coastal Flood
51,coastal flooding/erosion,Coastal Flood
52,coastal storm,Tropical Storm
53,coastal surge,Coastal Flood
54,coastal/tidal flood,Coastal Flood
55,coastalflood,Coastal Flood
56,coastalstorm,Tropical Storm
57,cold,
58,cold air funnel,Funnel Cloud
59,cold air funnels,Funnel Cloud
60,cold air tornado,Tornado
61,cold and frost,
62,cold and snow,
63,cold and wet conditions,
64,cold temperature,
65,cold temperatures,
66,cold wave,
67,cold weather,
68,cold wind chill temperatures,
69,cold/wind chill,Extreme Cold/Wind Chill
70,cold/winds,Extreme Cold/Wind Chill
71,cool and wet,
72,cool spell,
73,cstl flooding/erosion,Coastal Flood
74,dam break,Flood
75,dam failure,Flood
76,damaging freeze,
77,deep hail,Hail
78,dense fog,
79,dense smoke,
80,downburst,
81,downburst winds,
82,driest month,
83,drifting snow,
84,drought,Drought
85,drought/excessive heat,Drought
86,drowning,Rip Current
87,dry,Drought
88,dry conditions,Drought
89,dry hot weather,Drought
90,dry microburst,Thunderstorm Wind
91,dry microburst 50,Thunderstorm Wind
92,dry microburst 53,Thunderstorm Wind
93,dry microburst 58,Thunderstorm Wind
94,dry microburst 61,Thunderstorm Wind
95,dry microburst 84,Thunderstorm Wind
96,dry microburst winds,Thunderstorm Wind
97,dry mircoburst winds,Thunderstorm Wind
98,dry pattern,Drought
99,dry spell,Drought
100,dry weather,Drought
101,dryness,Drought
102,dust devel,Dust Devil
103,dust devil,Dust Devil
104,dust devil waterspout,Dust Devil
105,dust storm,Dust Storm
106,dust storm/high winds,Dust Storm
107,duststorm,Dust Storm
108,early freeze,
109,early frost,
110,early rain,
111,early snow,
112,early snowfall,
113,erosion/cstl flood,Coastal Flood
114,excessive,
115,excessive cold,Extreme Cold/Wind Chill
116,excessive heat,Excessive Heat
117,excessive heat/drought,Excessive Heat
118,excessive precipitation,
119,excessive rain,
120,excessive rainfall,
121,excessive snow,
122,excessive wetness,
123,excessively dry,
124,extended cold,Extreme Cold/Wind Chill
125,extreme cold,Extreme Cold/Wind Chill
126,extreme cold/wind chill,Extreme Cold/Wind Chill
127,extreme heat,Excessive Heat
128,extreme wind chill,Extreme Cold/Wind Chill
129,extreme wind chill/blowing sno,Extreme Cold/Wind Chill
130,extreme wind chills,Extreme Cold/Wind Chill
