EventName,Element1,Element2
Astronomical Low Tide,Water,
Avalanche,Ice,
Blizzard,Ice,
Coastal Flood,Ice,
Cold/Wind Chill,Cold,Air
Debris Flow,Earth,Earth
Dense Fog,Water,Water
Dense Smoke,Fire,Fire
Drought,Heat,
Dust Devil,Earth,Wind
Dust Storm,Earth,Wind
Excessive Heat,Heat,Air
Extreme Cold/Wind Chill,Cold,Air
Flash Flood,Water,
Flood,Water,
Frost/Freeze,Ice,
Funnel Cloud,Wind,
Freezing Fog,Cold,
Hail,Ice,Water
Heat,Heat,
Heavy Rain,Water,
Heavy Snow,Ice,
High Surf,Water,
High Wind,Wind,
Hurricane (Typhoon),Wind,
Ice Storm,Ice,
Lake-Effect Snow,Ice,
Lakeshore Flood,Water,
Lightning,Lightning,
Marine Hail,Ice,
Marine High Wind,Wind,
Marine Strong Wind,Wind,
Marine Thunderstorm Wind,Wind,
Rip Current,Water,
Seiche,Ice,
Sleet,Ice,
Storm Surge/Tide,Water,
Strong Wind,Wind,
Thunderstorm Wind,Wind,
Tornado,Wind,
Tropical Depression,Wind,
Tropical Storm,Water,
Tsunami,Water,
Volcanic Ash,Earth,
Waterspout,Wind,
Wildfire,Fire,
Winter Storm,Wind,
Winter Weather,Cold,
