,x,EventName,,,,EventList,,Element,Element2
1,   HIGH SURF ADVISORY,High Surf,,,,Astronomical Low Tide,,Earth,
2, COASTAL FLOOD,Flood,,,,Avalanche,,Wind,Low Temp
3, FLASH FLOOD,Flash Flood,,,,Blizzard,,Fire,High Temp
4, LIGHTNING,Lightning,,,,Coastal Flood,,Water,Solid
5, TSTM WIND,Tsunami,,,,Cold/Windhill,,Water,Liquid
6, TSTM WIND (G45),Tsunami,,,,Debris Flow,,Water,Gas
7, WATERSPOUT,Waterspout,,,,Dense Fog,,,
8, WIND,,,,,Dense Smoke,,,
9,?,,,,,Drought,,,
10,ABNORMAL WARMTH,,,,,Dust Devil,,,
11,ABNORMALLY DRY,,,,,Dust Storm,,,
12,ABNORMALLY WET,,,,,Excessive Heat,,,
13,ACCUMULATED SNOWFALL,,,,,Extremeold/Windhill,,,
14,AGRICULTURAL FREEZE,,,,,Flash Flood,,,
15,APACHE COUNTY,,,,,Flood,,,
16,ASTRONOMICAL HIGH TIDE,,,,,Frost/Freeze,,,
17,ASTRONOMICAL LOW TIDE,,,,,Funnelloud,,,
18,AVALANCE,Avalanche,,,,Freezing Fog,,,
19,AVALANCHE,Avalanche,,,,Hail,,,
20,BEACH EROSIN,Coastal Flood,,,,Heat,,,
21,Beach Erosion,Coastal Flood,,,,Heavy Rain,,,
22,BEACH EROSION,Coastal Flood,,,,Heavy Snow,,,
23,BEACH EROSION/COASTAL FLOOD,Coastal Flood,,,,High Surf,,,
24,BEACH FLOOD,,,,,High Wind,,,
25,BELOW NORMAL PRECIPITATION,,,,,Hurricane (Typhoon),,,
26,BITTER WIND CHILL,,,,,Ice Storm,,,
27,BITTER WIND CHILL TEMPERATURES,,,,,Lake-Effect Snow,,,
28,Black Ice,Blizzard,,,,Lakeshore Flood,,,
29,BLACK ICE,Blizzard,,,,Lightning,,,
30,BLIZZARD,Blizzard,,,,Marine Hail,,,
31,BLIZZARD AND EXTREME WIND CHIL,Blizzard,,,,Marine High Wind,,,
32,BLIZZARD AND HEAVY SNOW,Blizzard,,,,Marine Strong Wind,,,
33,BLIZZARD WEATHER,Blizzard,,,,Marine Thunderstorm Wind,,,
34,BLIZZARD/FREEZING RAIN,Blizzard,,,,Ripurrent,,,
35,BLIZZARD/HEAVY SNOW,Blizzard,,,,Seiche,,,
36,BLIZZARD/HIGH WIND,Blizzard,,,,Sleet,,,
37,BLIZZARD/WINTER STORM,,,,,Storm Surge/Tide,,,
38,BLOW-OUT TIDE,,,,,Strong Wind,,,
39,BLOW-OUT TIDES,,,,,Thunderstorm Wind,,,
40,BLOWING DUST,,,,,Tornado,,,
41,blowing snow,,,,,Tropical Depression,,,
42,Blowing Snow,,,,,Tropical Storm,,,
43,BLOWING SNOW,,,,,Tsunami,,,
44,BLOWING SNOW- EXTREME WIND CHI,,,,,Volcanic Ash,,,
45,BLOWING SNOW & EXTREME WIND CH,,,,,Waterspout,,,
46,BLOWING SNOW/EXTREME WIND CHIL,,,,,Wildfire,,,
47,BREAKUP FLOODING,Coastal Flood,,,,Winter Storm,,,
48,BRUSH FIRE,Coastal Flood,,,,Winter Weather,,,
49,BRUSH FIRES,Coastal Flood,,,,,,,
50,COASTAL  FLOODING/EROSION,Coastal Flood,,,,,,,
51,COASTAL EROSION,Coastal Flood,,,,,,,
52,Coastal Flood,Coastal Flood,,,,,,,
53,COASTAL FLOOD,Coastal Flood,,,,,,,
54,coastal flooding,Coastal Flood,,,,,,,
55,Coastal Flooding,Coastal Flood,,,,,,,
56,COASTAL FLOODING,,,,,,,,
57,COASTAL FLOODING/EROSION,,,,,,,,
58,Coastal Storm,,,,,,,,
59,COASTAL STORM,,,,,,,,
60,COASTAL SURGE,,,,,,,,
