"","hospital","state"
"1","ALASKA NATIVE MEDICAL CENTER","AK"
"2","JACKSONVILLE MEDICAL CENTER","AL"
"3","RIVER VALLEY MEDICAL CENTER","AR"
"4","HAVASU REGIONAL MEDICAL CENTER","AZ"
"5","DELANO REGIONAL MEDICAL CENTER","CA"
"6","ST MARYS HOSPITAL AND MEDICAL CENTER","CO"
"7","MILFORD HOSPITAL, INC","CT"
"8","GEORGETOWN UNIVERSITY HOSPITAL","DC"
"9","CHRISTIANA CARE HEALTH SERVICES, INC.","DE"
"10","SEVEN RIVERS REGIONAL MEDICAL CENTER","FL"
"11","MCDUFFIE REGIONAL MEDICAL CENTER","GA"
"12","GUAM MEMORIAL HOSPITAL AUTHORITY","GU"
"13","MAUI MEMORIAL MEDICAL CENTER","HI"
"14","BURGESS HEALTH CENTER","IA"
"15","BEAR LAKE MEMORIAL HOSPITAL","ID"
"16","ST JOHNS HOSPITAL","IL"
"17","INDIANA UNIVERSITY HEALTH LA PORTE HOSPITAL","IN"
"18","WESTERN PLAINS MEDICAL COMPLEX","KS"
"19","CALDWELL MEDICAL CENTER","KY"
"20","TERREBONNE GENERAL MEDICAL CENTER","LA"
"21","ATHOL MEMORIAL HOSPITAL","MA"
"22","CIVISTA MEDICAL CENTER","MD"
"23","MID COAST HOSPITAL","ME"
"24","ASPIRUS GRAND VIEW HOSPITAL","MI"
"25","GLACIAL RIDGE HOSPITAL","MN"
"26","UNIVERSITY OF MISSOURI HEALTH CARE","MO"
"27","BOLIVAR MEDICAL CENTER","MS"
"28","GLENDIVE MEDICAL CENTER","MT"
"29","VIDANT EDGECOMBE HOSPITAL","NC"
"30","OAKES COMMUNITY HOSPITAL","ND"
"31","MEMORIAL COMMUNITY HOSPITAL","NE"
"32","LAKES REGION GENERAL HOSPITAL","NH"
"33","BERGEN REGIONAL MEDICAL CENTER","NJ"
"34","UNM HOSPITAL","NM"
"35","RENOWN REGIONAL MEDICAL CENTER","NV"
"36","ONEIDA HEALTHCARE CENTER","NY"
"37","COSHOCTON COUNTY MEMORIAL HOSPITAL","OH"
"38","MERCY MEMORIAL HEALTH CENTER","OK"
"39","BAY AREA HOSPITAL","OR"
"40","POTTSTOWN MEMORIAL MEDICAL CENTER","PA"
"41","HOSPITAL SAN CARLOS BORROMEO","PR"
"42","SOUTH COUNTY HOSPITAL INC","RI"
"43","LAURENS COUNTY HEALTHCARE SYSTEM","SC"
"44","HURON REGIONAL MEDICAL CENTER","SD"
"45","ATHENS REGIONAL MEDICAL CENTER","TN"
"46","LIMESTONE MEDICAL CENTER","TX"
"47","CASTLEVIEW HOSPITAL","UT"
"48","SENTARA LEIGH HOSPITAL","VA"
"49","ROY LESTER SCHNEIDER HOSPITAL,THE","VI"
"50","PORTER HOSPITAL, INC","VT"
"51","OLYMPIC MEDICAL CENTER","WA"
"52","MAYO CLINIC HEALTH SYSTEM - NORTHLAND, INC","WI"
"53","PLATEAU MEDICAL CENTER","WV"
"54","NORTH BIG HORN HOSPITAL DISTRICT","WY"
